; 英文的编码用大写字母表示
僲 xian 0
僴 xian 0
僶 min 0
僷 ye 0
僸 jin 0
價 jia 0
價 jie 0
價 qia 0
僺 qiao 0
僼 feng 0
僽 zhou 0
僾 ai 0
僿 sai 0
儀 yi 0
儁 jun 0
儂 nong 0
儃 chan 0
儃 shan 0
儃 tan 0
億 yi 0
儅 dang 0
儈 kuai 0
儉 jian 60
儊 chu 37
儌 jiao 14
儍 sha 6383
儎 zai 113
儏 can 17
儐 bin 36
儑 an 42
儓 tai 16
儔 chou 44
儔 dao 0
儕 chai 4
儖 lan 9
儗 ni 94
儗 yi 0
儘 jin 872
儙 qian 7
儚 meng 274
儛 wu 2103
儜 ning 50
儝 qiong 2
儞 ni 99
償 chang 183
儠 la 34
儠 lie 0
儢 lv 16
儣 kuang 32
儤 bao 29
儥 di 21
儥 yu 0
儦 biao 4
儧 zan 5
儨 zhi 54
儩 si 17
優 you 1407
儫 hao 21
儬 jing 456
儬 qing 0
儭 chen 1443
儭 qin 1000
儮 li 31
儯 teng 32
儰 wei 502
儱 long 558
儲 chu 216
儳 chan 20
儴 rang 86
儴 xiang 0
儵 shu 23
儵 tiao 0
儶 hui 24
儶 xie 0
儷 li 652
儸 luo 275
儹 zan 18
儺 nuo 8
儻 tang 46
儼 yan 13
儽 lei 408
儽 luo 0
儾 nang 8
兂 zan 239
兇 xiong 484
兊 dui 0
兊 rui 0
兊 yue 0
兌 dui 0
兌 rui 0
兌 yue 0
兎 tu 710
兏 chang 4
兏 zhang 0
児 er 4055
児 ni 4000
兒 er 5114
兒 ni 2331
兓 jin 12
兗 yan 19
兘 shi 82
兙 ke 49
兛 ke 5
兝 fen 4
兞 ke 12
兟 shen 56
兠 dou 193
兡 ke 29
兣 gong 7
兤 huang 13
兦 wang 65
兦 wu 0
內 na 2711
內 nei 2500
兩 liang 9600
兪 shu 121
兪 yu 0
兯 han 96
兯 jie 0
兲 tian 13054
兺  0
兾 ji 8
兿 yi 99
冃 mao 81
冄 ran 3594
円 yuan 237
冇 mao 55598
冊 ce 1860
冊 zha 1000
冋 jiong 132
冎 gua 14
冏 jiong 130
冐 mao 134
冐 mo 0
冑 zhou 10
冓 gou 48
冔 xu 13
冘 yin 9
冘 you 0
冚 kan 485
冝 yi 24
冞 mi 60
冟 shi 26
冡 meng 13
冣 ju 0
冦 kou 15
冧 lin 1413
冨 fu 299
冩 xie 2316
冪 mi 17
冭 tai 2069
冮 gang 134
冴 hu 77
冴 ya 0
冸 pan 18
冹 fa 7
冹 fu 0
冺 min 22
冾 qia 24
冿 jian 31
凁 sou 10
凂 mei 18
凃 tu 415
凅 gu 81
凈 cheng 85
凈 jing 85
凊 qing 672
凍 dong 953
凎 gan 22
凐 yin 83
凒 ai 28
凓 li 22
凔 cang 66
凔 chuang 0
凕 ming 21
凖 zhun 217
凗 cui 14
凘 si 0
凙 duo 0
凚 jin 0
凜 lin 0
凞 xi 0
凟 dou 0
凟 du 0
凢 fan 0
凣 fan 0
凥 ju 0
処 chu 0
凧 zheng 0
凨 feng 0
凩 mu 0
凪 zhi 0
凬 feng 0
凮 feng 0
凱 kai 0
凲 gan 0
凴 ping 0
凷 kuai 0
凾 han 0
刄 ren 0
刅 chuang 0
刉 ji 0
刋 qian 0
刌 cun 0
刏 ji 0
刐 dan 0
刓 wan 0
刔 jue 0
刕 li 0
刜 fu 0
刞 qu 0
刟 diao 0
刡 min 0
刢 ling 0
刣 zhong 0
別 bie 0
刦 jie 0
刧 jie 0
刪 shan 0
刬 chan 0
刯 geng 0
刱 chuang 0
刲 kui 0
刴 duo 0
刵 er 0
刼 jie 0
刾 ci 0
剄 jing 0
剅 dou 0
剅 lou 0
剆 luo 0
則 ze 0
剈 yuan 0
剉 cuo 0
剋 ke 0
剋 kei 0
剎 cha 0
剎 sha 0
剏 chuang 0
剒 cuo 0
剓 li 0
剕 fei 0
剗 chan 0
剘 qi 0
剙 chuang 8
剚 zi 2
剛 gang 10778
剝 bao 91
剝 bo 0
剝 pu 0
剟 chi 10
剟 duo 0
剠 lue 11
剠 lve 0
剠 qing 0
剢 du 9
剢 zhuo 0
剣 jian 157
剤 ji 27
剦 yan 3
剨 huo 11
剫 du 37
剫 duo 0
剬 duan 4
剬 tuan 0
剬 zhi 0
剭 wu 18
剮 gua 14
剰 sheng 219
剱 jian 32
剳 da 8
剳 zha 0
剴 kai 28
創 chuang 1192
剶 chuan 5
剷 chan 23
剸 tuan 10
剸 zhuan 0
剹 lu 25
剺 li 8
剻 peng 7
剼 shan 9
剾 kou 4
劀 gua 19
劃 hua 2607
劃 huai 0
劄 zha 4
劅 zhuo 29
劆 lian 3
劇 ju 3509
劉 liu 1450
劊 gui 14
劋 chao 27
劋 jiao 0
劌 gui 3
劍 jian 669
劎 jian 8
劏 tang 79
劏 tong 0
劑 ji 214
劒 jian 87
劔 jian 33
劕 zhi 19
劖 chan 11
劗 jian 5
劗 zuan 0
劘 mi 9
劘 mo 0
劙 li 11
劚 zhu 8
劜 ya 12
劤 jin 14
